订单编号,富龙实收金额,通联实扣金额
2005880000052431722415836707920289,72.22,72.22
2005880000052431722396443985915940,225,225
2005880000052431722396806904005882,700,700
2005880000052431722386702052443665,125,125
2005880000052431722408780645970316,83.33,83.33
2005880000052431722408781678598464,58.33,58.33
2005880000052431722380642702387558,100,100
2005880000052431722424456361839471,50,50
2005880000052431722438780908764209,41.67,41.67
2005880000052431722407017237872646,225,225
2005880000052431722427369607991906,66.67,66.67
2005880000052431722420104699293743,116.67,116.67
2005880000052431722408750446077641,41.67,41.67
2005880000052431722433401007131411,58.33,58.33
B240731210805731829,1466.68,1466.68
2005880000052431722423078521188376,116.67,116.67
2005880000052431722432983103255354,250,250
2005880000052431722410335522106621,166.67,166.67
2005880000052431722419941712998330,91.67,91.67
2005880000052431722402568347097528,333.33,333.33
B240731211603732448,533.32,533.32
2005880000052431722406391088449237,75,75
2005880000052431722410334777178958,59.67,59.67
2005880000052431722398446750068347,1033.33,1033.33
2005880000052431722382985842189106,1000,1000
2005880000052431722380643175973415,108.33,108.33
2005880000052431722411186053333402,133.33,133.33
2005880000052431722398691620954585,125,125
2005880000052431722430081503050290,83.33,83.33
2005880000052431722394360111654418,208.33,208.33
B2024073112000040200,58.37,58.37
B2024073112000040200,58.33,58.33
B2024073112000040200,58.33,58.33
B2024073112000040200,58.33,58.33
2005880000052431722430857306688699,208.33,208.33
2005880000052431722420161670953271,191.67,191.67
2005880000052431722356268383919458,108.33,108.33
2005880000052431722440869468772600,66.67,66.67
2005880000052431722407014750566567,108.33,108.33
2005880000052431722400157755938696,250,250
2005880000052431722417440421902455,166.67,166.67
2005880000052431722417085466249427,144.44,144.44
2005880000052431722411682627290834,166.67,166.67
2005880000052431722412781752550510,116.67,116.67
2005880000052431722421415566605675,133.33,133.33
2005880000052431722388131407316665,41.67,41.67
B240731171204716412,400,400
2005880000052431722427762393346214,41.67,41.67
2005880000052431722386717544913377,166.67,166.67
2005880000052431722426542158468347,83.33,83.33
2005880000052431722380642215496022,91.67,91.67
2005880000052431722397832879918294,283.33,283.33
2005880000052431722384179273846922,83.33,83.33
2005880000052431722376231407250846,41.67,41.67
2005880000052431722407250809338791,225,225
2005880000052431722408775524068107,214.48,214.48
2005880000052431722435788922996382,100,100
2005880000052431722395224236582538,300,300
2005880000052431722411683201548787,316.67,316.67
2005880000052431722439564302471283,416.67,416.67
2005880000052431722358881710720753,50,50
2005880000052431722358950495778168,50,50
2005880000052431722396443443117037,208.33,208.33
2005880000052431722381423643217808,58.33,58.33
2005880000052431722424455667497864,91.67,91.67
2005880000052431722407626078292989,83.33,83.33
B240731211554732401,450,450
2005880000052431722401277378623878,83.33,83.33
2005880000052431722401116058387383,83.33,83.33
2005880000052431722401277378623878,83.33,83.33
2005880000052431722401173879127881,83.33,83.33
2005880000052431722401163592750912,83.33,83.33
2005880000052431722401183809722466,83.33,83.33
2005880000052431722401193525461077,83.33,83.33
2005880000052431722401133477559843,83.33,83.33
2005880000052431722380676380429883,166.67,166.67
2005880000052431722403699023676682,166.67,166.67
B2024073120000653626,66.67,66.67
B2024073110000020183,41.67,41.67
2005880000052431722441127211310119,50,50
2005880000052431722402790282599425,250,250
2005880000052431722398692165983981,125,125
2005880000052431722408746925874890,333.33,333.33
2005880000052431722410446129740432,133.33,133.33
2005880000052431722394922958064919,133.33,133.33
2005880000052431722407626842712460,166.67,166.67
2005880000052431722376312642693716,83.33,83.33
2005880000052431722439322782365368,58.33,58.33
2005880000052431722427370111047693,41.67,41.67
2005880000052431722419898243260557,166.67,166.67
2005880000052431722402951701919896,175,175
2005880000052431722439565985961869,683.33,683.33
2005880000052431722416834335201878,455.56,455.56
2005880000052431722393128141979189,41.67,41.67
2005880000052431722392407194967474,100,100
B240731105108692433,6783.37,6783.37
2005880000052431722407251868038456,266.67,266.67
2005880000052431722403469156865830,166.67,166.67
2005880000052431722396455690320170,308.33,308.33
2005880000052431722417443325719530,33.17,33.17
2005880000052431722421417083538066,150,150
2005880000052431722440855649881841,200,200
2005880000052431722403969265383559,250,250
2005880000052431722377661292105983,216.67,216.67
2005880000052431722394123346692746,83.33,83.33
2005880000052431722397715932399674,66.33,66.33
2005880000052431722438628147561059,333.33,333.33
2005880000052431722437531870923995,83.33,83.33
2005880000052431722441129332674702,50,50
2005880000052431722397658695170370,325,325
2005880000052431722411686107850696,200,200
2005880000052431722430699368846211,77.78,77.78
2005880000052431722408130511681809,316.67,316.67
B240731110110692907,1424.97,1424.97
2005880000052431722399920238224844,500,500
B240731134030706532,666.64,666.64
2005880000052431722365874774525859,250,250
2005880000052431722419433599163129,133.33,133.33
2005880000052431722381355832248254,416.67,416.67
2005880000052431722426544213620700,383.33,383.33
2005880000052431722419434145786625,100,100
2005880000052431722388943451130302,533.33,533.33
2005880000052431722408781164936415,83.33,83.33
2005880000052431722402950382746066,175,175
2005880000052431722394360740054160,175,175
2005880000052431722397714671152464,50,50
2005880000052431722422478119943958,391.67,391.67
2005880000052431722419869349346855,233.33,233.33
2005880000052431722417086756262317,125,125
2005880000052431722402791223259296,400,400
2005880000052431722392609541831586,166.67,166.67
2005880000052431722382978929632785,683.33,683.33
2005880000052431722408751014052225,41.67,41.67
2005880000052431722411684976643398,183.33,183.33
2005880000052431722412782335552143,188.89,188.89
2005880000052431722409343664677680,3300,3300
2005880000052431722428984767671397,100,100
2005880000052431722433058264351082,216.67,216.67
2005880000052431722392338103092541,191.67,191.67
2005880000052431722386375802864449,1000,1000
2005880000052431722396745219932747,250,250
2005880000052431722430031370908472,475,475
2005880000052431722392380577324642,500,500
2005880000052431722419943090663113,108.33,108.33
2005880000052431722382080072883949,183.33,183.33
2005880000052431722423146563133581,250,250
2005880000052431722430320476573974,41.67,41.67
2005880000052431722358882950059813,108.33,108.33
2005880000052431722358951688925262,108.33,108.33
2005880000052431722439352349453794,41.67,41.67
2005880000052431722439354555465407,41.67,41.67
2005880000052431722408752709015431,41.67,41.67
2005880000052431722427371048767553,66.5,66.5
2005880000052431722415842128968355,111.13,111.13
2005880000052431722415843915196650,116.61,116.61
2005880000052431722378653037068802,666.67,666.67
2005880000052431722378631197300781,666.67,666.67
2005880000052431722356534173669735,266.63,266.63
2005880000052431722397719226781258,83.37,83.37
2005880000052431722396456658845589,241.63,241.63
2005880000052431722399963091839435,183.35,183.35
2005880000052431722397660056569267,41.63,41.63
2005880000052431722422556026064779,58.37,58.37
2005880000052431722390884020059110,225,225
2005880000052431722397170258630111,111.12,111.12
2005880000052431722403701638735607,111.11,111.11
2005880000052431722440872198687309,91.63,91.63
2005880000052431722409342371343955,1666.67,1666.67
2005880000052431722437529121836137,41.67,41.67
B240731153551711478,1083.3,1083.3
2005880000052431722386702905241689,125,125
2005880000052431722406897639635150,1000,1000
2005880000052431722390046022114102,116.67,116.67
2005880000052431722373480414668935,66.33,66.33
2005880000052431722409819616194237,141.67,141.67
2005880000052431722372866596292494,466.67,466.67
2005880000052431722424456987386689,108.33,108.33
2005880000052431722389019372682372,208.33,208.33
2005880000052431722425056665786024,183.33,183.33
2005880000052431722426544809320854,450,450
2005880000052431722410337275898050,433.33,433.33
2005880000052431722402050715997740,275,275
2005880000052431722399962319421905,183.33,183.33
2005880000052431722431448725156859,500,500
2005880000052431722427424710753642,500,500
2005880000052431722427955332259643,283.33,283.33
2005880000052431722395225149488855,241.67,241.67
2005880000052431722394924054664833,166.67,166.67
2005880000052431722388627579532424,166.67,166.67
2005880000052431722388596281069432,166.67,166.67
2005880000052431722441129997086463,41.67,41.67
2005880000052431722399808486713396,175,175
2005880000052431722397658051900464,99.67,99.67
2005880000052431722394123913509560,41.67,41.67
2005880000052431722423079118184681,133.33,133.33
2005880000052431722411686813759157,250,250
2005880000052431722410337807822929,166.67,166.67
2005880000052431722393750774693547,516.67,516.67
2005880000052431722406899336091782,2000,2000
2005880000052431722409344852236595,1333.33,1333.33
2005880000052431722409753473762757,141.67,141.67
2005880000052431722406949697491468,161.11,161.11
2005880000052431722400054355143767,141.67,141.67
2005880000052431722380678106580407,116.67,116.67
2005880000052431722389019975908102,208.37,208.37
2005880000052431722394924558866992,158.37,158.37
2005880000052431722408729860740005,250,250
2005880000052431722376315010819709,108.37,108.37
2005880000052431722393128641495153,50,50
2005880000052431722356350397622151,250,250
2005880000052431722356371284019583,250,250
2005880000052431722402315638898720,966.66,966.66
2005880000052431722426545440414381,316.65,316.65
2005880000052431722407252547723865,225,225
2005880000052431722392759243243609,266.65,266.65
2005880000052431722435487451265579,325,325
2005880000052431722397849701146987,158.37,158.37
2005880000052431722420181425013471,100,100
2005880000052431722402953026264259,325,325
2005880000052431722427425830104434,355.56,355.56
2005880000052431722427396209124534,355.48,355.48
2005880000052431722427404999874849,355.56,355.56
2005880000052431722421417588878545,133.35,133.35
2005880000052431722396808011832697,300,300
2005880000052431722377662748927704,208.37,208.37
2005880000052431722392407664305748,150,150
2005880000052431722439356715849641,55.52,55.52
2005880000052431722398694281979573,100,100
2005880000052431722417088230773315,225,225
2005880000052431722411688134255399,200,200
2005880000052431722406899905382517,833.34,833.34
2005880000052431722392339391748332,66.63,66.63
2005880000052431722380678646160868,125,125
2005880000052431722416720455104433,116.67,116.67
2005880000052431722416765680416174,116.67,116.67
2005880000052431722416755182645884,116.67,116.67
2005880000052431722416744362805280,116.67,116.67
2005880000052431722416782842564860,116.67,116.67
2005880000052431722416791660508187,116.67,116.67
2005880000052431722416707373478821,116.67,116.67
2005880000052431722416660042506691,116.67,116.67
2005880000052431722416775062466089,116.67,116.67
2005880000052431722416732714376833,116.67,116.67
2005880000052431722416692159237021,116.67,116.67
2005880000052431722427763929440537,150,150
2005880000052431722423079920527716,83.35,83.35
2005880000052431722357391853102395,100,100
B240731101526689477,600,600
B240731114506695690,1500,1500
2005880000052431722388597858845189,208.33,208.33
2005880000052431722388628781340886,208.33,208.33
B240731074922684664,2500,2500
2005880000052431722411165307168957,83.35,83.35
2005880000052431722438681124940462,66.34,66.34
2005880000052431722410381967144341,166.66,166.66
2005880000052431722388598499133312,250,250
2005880000052431722408785189346078,55.56,55.56
2005880000052431722408785665234268,77.78,77.78
2005880000052431722380606919436747,100,100
2005880000052431722420190673886032,100,100
2005880000052431722425968564452534,1000,1000
2005880000052431722423147146825729,283.35,283.35
2005880000052431722377083774916649,250,250
2005880000052431722377053205422803,250,250
2005880000052431722421898793633058,233.34,233.34
2005880000052431722420191272084195,200,200
2005880000052431722430031997450537,166.63,166.63
2005880000052431722433685668082447,666.65,666.65
2005880000052431722397835391119672,316.65,316.65
2005880000052431722438681694373880,158.37,158.37
2005880000052431722431449849547924,700,700
2005880000052431722430952288438666,225,225
2005880000052431722395080591999790,83.37,83.37
2005880000052431722411688659903438,333.35,333.35
2005880000052431722432290449025301,266.63,266.63
2005880000052431722384198238146209,154.35,154.35
2005880000052431722384198238146209,277.74,277.74
2005880000052431722384198238146209,277.78,277.78
2005880000052431722384198238146209,277.78,277.78
2005880000052431722415181802814596,66.5,66.5
2005880000052431722399552859361728,58.33,58.33
200588000005243022024073120000030528,833.33,833.33
2005880000052431722390770456407666,666.67,666.67
2005880000052431722418873545582622,833.33,833.33
2005880000052431722387916132070900,750,750
2005880000052431722397730506911517,50,50
2005880000052431722401041940068905,666.67,666.67
2005880000052431722401052076958831,666.67,666.67
2005880000052431722401032446855625,666.66,666.66
2005880000052431722411089634175182,91.63,91.63
B240731030035681062,199,199
2005880000052431722408994746267204,266.65,266.65
200588000005243022024073112000010006,833.33,833.33
200588000005243022024073112000010006,130.04,130.04
2005880000052431722398814005199791,750,750
2005880000052431722392513167358255,916.67,916.67
2005880000052431722392577467656315,750,750
2005880000052431722390961713962129,1083.33,1083.33
2005880000052431722385518316300485,500,500
2005880000052431722413764476853881,916.67,916.67
2005880000052431722388697300110923,1233.33,1233.33
2005880000052431722432980631650870,83.33,83.33
2005880000052431722403322225479227,1000,1000
2005880000052431722392679143546857,1583.33,1583.33
2005880000052431722425674814093117,833.33,833.33
2005880000052431722411760687136958,750,750
2005880000052431722395701495281268,666.67,666.67
2005880000052431722377942295852170,66.67,66.67
2005880000052431722413288697121533,216.67,216.67
2005880000052431722440331386636864,666.67,666.67
2005880000052431722414308382189324,916.67,916.67
2005880000052431722421051851386751,750,750
2005880000052431722424087717229320,666.67,666.67
2005880000052431722420169111078809,833.33,833.33
2005880000052431722380415650854890,769.37,769.37
2005880000052431722362109436004205,666.67,666.67
2005880000052431722434665137035467,750,750
2005880000052431722434630212326951,750,750
2005880000052431722434426746242520,750,750
2005880000052431722434673735862416,750,750
2005880000052431722434722866860477,750,750
2005880000052431722434417397107166,750,750
2005880000052431722434699718173464,750,750
2005880000052431722434707912397746,750,750
2005880000052431722398927659373756,50,50
B2024073110000020188,1666.67,1666.67
B2024073112000085047,0,0
B2024073112000139001,7.14,7.14
B2024073112000139001,233.33,233.33
2005880000052431722391714965029734,41.67,41.67
B2024073112000178490,83.33,83.33
B2024073112000178490,83.33,83.33
B2024073112000178490,83.33,83.33
B2024073112000180221,200,200
B2024073112000180221,200,200
B2024073112000195340,58.33,58.33
B2024073112000195340,58.33,58.33
B2024073118000550080,105,105
B2024073118000550080,105,105
B2024073118000550080,105,105
B2024073118000550182,83.33,83.33
B2024073112000231544,0,0
B2024073118000557703,50,50
B2024073118000557703,50,50
B2024073118000578980,32.5,32.5
B2024073118000578980,32.5,32.5
B2024073118000578980,32.5,32.5
B2024073118000578980,32.5,32.5
B2024073118000578980,32.5,32.5
B2024073118000578980,32.5,32.5
B2024073112000275796,83.33,83.33
2005880000052431722402184304822227,111.11,111.11
B2024073120000655859,283.33,283.33
2005880000052431722415662799386768,183.33,183.33
B2024073118000366481,700,700
B2024073118000366481,700,700
2005880000052431722402183545145957,38.89,38.89
2005880000052431722435818810072984,291.67,291.67
B2024073117000333872,83.33,83.33
B2024073110000010860,83.33,83.33
200588000005243022024073113000014896,56.72,56.72
B2024073117000334224,250,250
B2024073110000020192,83.33,83.33
2005880000052431722408790764681261,64.17,64.17
2005880000052431722426384245342489,416.67,416.67
2005880000052431722402185804414219,133.33,133.33
2005880000052431722396451296496750,391.67,391.67
2005880000052431722415694951774302,88.67,88.67
2005880000052431722408791721368330,108.4,108.4
2005880000052431722406893263995307,375,375
B2024073118000622859,166.67,166.67
2005880000052431722425050254687440,141.67,141.67
2005880000052431722392390089648376,58.33,58.33
B2024073110000011792,30.4,30.4
2005880000052431722407093494344398,325,325
B2024073110000020201,83.33,83.33
2005880000052431722408739275435444,316.67,316.67
2005880000052431722400045208728479,50,50
2005880000052431722419257722303297,83.33,83.33
2005880000052431722426692869524679,83.33,83.33
2005880000052431722370336798028733,125,125
2005880000052431722359735293495194,125,125
B2024073117000335422,341.67,341.67
2005880000052431722415699931834356,88.89,88.89
2005880000052431722430500073284652,108.33,108.33
2005880000052431722419978461204561,41.67,41.67
2005880000052431722425051105679182,133.33,133.33
2005880000052431722377651623220947,41.67,41.67
2005880000052431722427365876930342,250,250
2005880000052431722424450484583232,125,125
2005880000052431722416849388966514,475,475
B240731171243716488,200,200
2005880000052431722407010467906111,208.33,208.33
2005880000052431722396498664763337,166.67,166.67
2005880000052431722391831407157183,208.33,208.33
B240731080627685037,250,250
2005880000052431722396451872780493,233.33,233.33
2005880000052431722427860377361917,358.33,358.33
2005880000052431722427846492497044,358.33,358.33
2005880000052431722357980053215407,241.67,241.67
2005880000052431722408676160797927,41.67,41.67
B2024073117000324213,416.67,416.67
B2024073117000324213,255.2,255.2
2005880000052431722408744337761578,50,50
2005880000052431722386696514530872,125,125
2005880000052431722408736231392984,41.67,41.67
2005880000052431722402185126385205,150,150
2005880000052431722389062494177059,91.67,91.67
2005880000052431722415696029604759,100,100
2005880000052431722388849924278172,258.33,258.33
2005880000052431722427364691349918,191.67,191.67
2005880000052431722408737495477192,41.67,41.67
2005880000052431722391830756684039,200,200
2005880000052431722430077009953429,225,225
2005880000052431722416830252254735,166.67,166.67
2005880000052431722408792354258908,55.17,55.17
2005880000052431722390038898983691,41.67,41.67
2005880000052431722408748115807051,83.33,83.33
2005880000052431722358936800683427,250,250
2005880000052431722358867893897660,250,250
2005880000052431722402188555785281,208.33,208.33
2005880000052431722436032822210531,41.67,41.67
2005880000052431722357767947563482,91.67,91.67
2005880000052431722415629627928675,41.67,41.67
2005880000052431722415764251280078,88.67,88.67
B2024073110000020196,83.33,83.33
2005880000052431722359165183397065,50,50
2005880000052431722427366898709934,241.67,241.67
2005880000052431722357768787020654,116.67,116.67
2005880000052431722396452381821712,208.33,208.33
2005880000052431722359737147513666,83.33,83.33
2005880000052431722376220450720615,41.67,41.67
2005880000052431722407247204845939,316.67,316.67
2005880000052431722419939752852133,166.67,166.67
2005880000052431722417435122692105,233.33,233.33
2005880000052431722357381994515074,66.67,66.67
2005880000052431722399924134529562,100,100
B240731221017734582,233.32,233.32
2005880000052431722391832000702045,233.33,233.33
2005880000052431722358868510058851,83.33,83.33
2005880000052431722358937483836554,83.33,83.33
B2024073110000020198,41.67,41.67
B2024073117000334968,54.82,54.82
2005880000052431722419977241843029,100,100
2005880000052431722419977887151968,83.33,83.33
2005880000052431722421533922256151,666.67,666.67
2005880000052431722429619353973921,200,200
2005880000052431722390036832140464,36.33,36.33
2005880000052431722377649615548899,83.33,83.33
2005880000052431722400045929970783,41.67,41.67
2005880000052431722416848421197633,250,250
2005880000052431722358867122439721,75,75
2005880000052431722416830692595200,55.56,55.56
2005880000052431722390037488089093,41.67,41.67
2005880000052431722430849033028620,41.67,41.67
2005880000052431722395220465937412,225,225
2005880000052431722395303303402721,225,225
2005880000052431722408793398308780,47.17,47.17
